token_address,wallet_address,token_symbol,holder_concentration,liquidity_lock_ratio,creator_tx_pattern,buy_sell_ratio,contract_similarity_score,fund_flow_pattern,price_change_24h,liquidity_usd,volume_24h,total_jobs,completion_rate,trust_score,age_days,lp_drain_rate,deployer_age_days,token_supply_concentration,renounced_ownership,verified_contract,social_presence_score,audit_score,bonding_curve_position,lp_locked_pct,creator_other_tokens,creator_wallet_age,holder_count_norm,top10_holder_pct,acp_job_count,acp_completion_rate,acp_trust_score,token_age_days_norm,volume_to_mcap_ratio,price_volatility_7d,social_presence,is_honeypot,is_mintable,hidden_owner,slippage_modifiable,buy_tax,sell_tax,creator_percent,owner_percent,has_dex_data,is_virtuals_token,raw_liquidity_usd,raw_volume_24h,raw_market_cap,raw_price_change_24h,raw_token_age_days,raw_trust_score,raw_total_jobs,raw_holder_count,raw_top10_holder_pct,label,label_reason,data_source
0x4674f73545f1db4036250ff8c33a39ad1678d864,0xF411E62E7677E340E7a1dFd36133196D23338749,SQDGN,0.5129619153978214,1.0,0.5,0.1964285714285714,0.3,0.0,-0.0707,0.8670760330396485,0.6392953454990051,0.5466389782191041,0.9712,0.99,0.74800198551122,0.0,0.5,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.5,0.9785771660780138,0.5129619153978214,0.5466389782191041,0.9712,0.99,0.74800198551122,0.017196186373666,0.0707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,159387.35,6850.29,398361.0,-7.07,461.0522870650002,99,540,78142,51.29619153978214,0,legit_trust99_jobs540_liq$159387,virtuals_agent
0xc1b641e72327208f0fe37405a9d46439b626af6a,0xbC15779587717C4407eD5f3Db6247DA19b5cD3e8,WAYE,0.9908409519301248,0.0,0.5,0.8,0.3,0.0,0.077,0.8224070144462072,0.2439572692163027,0.452963171165063,0.9786,0.99,0.4913699457225202,0.0,0.5,1e-06,0,1,1.0,0.0,0.0,0.0,0.0,0.5,0.6670910007128928,0.9908409519301248,0.452963171165063,0.9786,0.99,0.4913699457225202,0.000143125006369,0.077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,1.0,1.0,85987.91,28.09,196262.0,7.7,55.294000028079,99,183,2164,99.08409519301247,1,extreme_concentration_99%_vol$28,virtuals_agent
0xdb40005fa4a9cc73fc48ac38d5d5cf3455f37d3b,0x0aFE3b8497De824A230986Ddab7f66EE4C80CBd8,SWAN,0.9401911862693394,6.1123475631e-08,0.5,0.1290322580645161,0.3,0.0,0.051,0.7749878232675133,0.3861173120019171,0.6125910347297504,0.9577,0.98,0.4898974544451792,0.0,0.5,8.5e-05,0,1,1.0,0.0,0.0,6.1123475631e-08,0.0,0.5,0.7172943326834533,0.9401911862693394,0.6125910347297504,0.9577,0.98,0.4898974544451792,0.0016914350352877,0.051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5e-05,0.0,1.0,1.0,44659.88,206.35,121997.0,5.1,54.61814354669077,98,1155,3858,94.01911862693396,0,legit_trust98_jobs1155_liq$44660,virtuals_agent
0x27990c0fe8bb79126f8f012a77e0a5837b2be0e1,0x8fAa644C8A0bc657ED0Eb86eD59af8b7A1EDc743,POKEPULL,0.6364652023750519,0.0,0.5,0.25,0.3,0.0,-0.0926,0.7218885004056738,0.4962963740893474,0.6575149907083322,0.9449,0.98,0.384506615272401,0.0,0.5,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.4993854958560813,0.6364652023750519,0.6575149907083322,0.9449,0.98,0.384506615272401,0.0306949969276543,0.0926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21444.26,949.12,30921.0,-9.26,22.429925954165988,98,1938,313,63.646520237505186,0,legit_trust98_jobs1938_liq$21444,virtuals_agent
0x73cb479f2ccf77bad90bcda91e3987358437240a,0xA908B2A981ae1106e5B047ef44604CCaA1E1c7F9,BIOS,0.6640813711052719,1.0,0.5,0.4025974025974026,0.3,0.0,0.0911999999999999,0.8078386363922757,0.6684806174801338,0.8179096661535336,0.9483,0.98,0.7031841534821508,0.0,0.5,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.5,0.8701457345480229,0.6640813711052719,0.8179096661535336,0.9483,0.98,0.7031841534821508,0.0730520345709623,0.0911999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,70311.44,10252.78,140349.0,9.12,318.912750028322,98,12289,22424,66.40813711052719,0,legit_trust98_jobs12289_liq$70311,virtuals_agent
0x80ded22d9c6487181ed74d0222add805815e8df4,0x6DE78Cb1EEde3090cb9736B155433A167Fa7B33E,CENTRY,0.6800298322269877,0.0,0.5,0.3846153846153846,0.3,0.0,0.3515,0.7978941733992433,0.627211117141875,0.0,0.0,0.0,0.680855158504278,0.0,0.5,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.5,0.664938205217256,0.6800298322269877,0.0,0.0,0.0,0.680855158504278,0.0372294580812557,0.3515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61285.58,5796.85,155706.0,35.15,265.3707129913443,0,0,2111,68.00298322269876,0,legit_mcap$155706_liq$61286_age265d,virtuals_agent
0x0eda054e27a274323e07023972f47c36693ce5df,0x57795bef2feC610CAa1330A99237fD9dDB3790BE,CUC,0.9546015172435882,0.0,0.5,0.5555555555555556,0.3,0.0,0.076,0.7857816864569379,0.6211545561046257,0.7081153282428069,0.9578,0.98,0.5885150455939349,0.0,0.5,0.108978,0,1,1.0,0.0,0.0,0.0,0.0,0.5,0.7254725411842544,0.9546015172435882,0.7081153282428069,0.9578,0.98,0.5885150455939349,0.0518216191522244,0.076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108978,0.0,1.0,1.0,51842.04,5331.46,102881.0,7.6,123.89152317659732,98,3471,4239,95.46015172435882,0,legit_trust98_jobs3471_liq$51842,virtuals_agent
0x8f79bea6c430eccb5c0b1878a1bc0d52f38de202,0x87E08ecB6852ecd5ef53D28128BDc3F65F1F2be9,HFURY,0.93216395470221,0.0,0.5,0.4,0.3,0.0,-0.076,0.7754832770125685,0.5874561993388048,0.6387912407595897,0.9554,0.98,0.6144005171219082,0.0,0.5,0.106683,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.7590362586492638,0.93216395470221,0.6387912407595897,0.9554,0.98,0.6144005171219082,0.0247217297520905,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106683,0.0,1.0,1.0,44966.63,3346.63,135372.0,-7.6,153.4356898433318,98,1562,6239,93.21639547022102,0,legit_trust98_jobs1562_liq$44967,virtuals_agent
0x815269d17c10f0f3df7249370e0c1b9efe781aa8,0x62529508590A4d5842C91602653de6315D701996,SANTA,0.5762720028192039,2.075611185e-09,0.5,0.3924050632911392,0.3,0.0,0.1002,0.8791637828600427,0.6559424292813228,0.5227679103070466,0.9339,0.97,0.7429916898482924,0.0,0.5,0.0,0,1,1.0,0.0,0.0,2.075611185e-09,0.0,0.5,0.915564176951084,0.5762720028192039,0.5227679103070466,0.9339,0.97,0.7429916898482924,0.0074292846476575,0.1002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,188356.57,8621.93,1160533.0,10.02,442.4476805841771,97,410,37828,57.62720028192039,0,legit_trust97_jobs410_liq$188357,virtuals_agent
0xc796e499cc8f599a2a8280825d8bda92f7a895e0,0x5AF0FadfDc29D2fae0dec4A782162aAF58e27222,BRO,0.5858095676745242,1.083841e-12,0.5,0.2962962962962963,0.3,0.0,0.1148,0.8637717809650526,0.5671509415780767,0.6192423792048739,0.932,0.97,0.7470075873159524,0.0,0.5,0.0,0,1,1.0,0.0,0.0,1.083841e-12,0.0,0.5,1.0154697915759692,0.5858095676745242,0.6192423792048739,0.932,0.97,0.7470075873159524,0.0035824476716747,0.1148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,152274.86,2527.75,705593.0,11.48,457.29874539906535,97,1247,119495,58.58095676745242,0,legit_trust97_jobs1247_liq$152275,virtuals_agent
